ID	Título	Data	Valor
132	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da sessão inaugural da LV Reunião Anual do Banco Interamericano de Desenvolvimento – Costa do Sauípe, 29 de março de 2014	29/03/2014	646,86
133	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da I sessão de trabalho da II Cúpula da Comunidade dos Estados Latino-Americanos (Celac) - Havana, 28 de janeiro de 2014	28/01/2014	139,88
134	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de inauguração do Porto de Mariel - Província de Artemisa, 27 de janeiro de 2014	27/01/2014	-86,33
135	Discurso proferido pela Presidenta da República, Dilma Rousseff, por ocasião de Sessão Plenária do Fórum Econômico Mundial 2014 – Davos, 24 de janeiro de 2014	24/01/2014	-533,26
136	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião de visita à sede da Fifa – Zurique, 23 de janeiro de 2014	23/01/2014	-979,02
137	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião de encontro bilateral com o Presidente da República francesa, François Hollande - Brasília, 12 de dezembro de 2013	12/12/2013	53,62
138	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de almoço em homenagem ao presidente da República francesa, François Hollande, e senhora Valérie Trierweiler - Brasília, 12 de dezembro de 2013	12/12/2013	-871,41
139	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do encontro da Clinton Global Initiative - Rio de Janeiro, 09 de dezembro de 2013	09/12/2013	221,11
140	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de abertura do Foro Empresarial Brasil-Peru - Lima, Peru, 11 de novembro de 2013	11/11/2013	375,01
141	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião de assinatura de atos – Lima, Peru, 11 de novembro de 2013	11/11/2013	375,01
142	Discurso proferido pela Presidenta da República, Dilma Rousseff, por ocasião do almoço oferecido pelo Presidente da República do Peru, Ollanta Humala – Lima, 11 de novembro de 2013	11/11/2013	375,01
143	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de entrega das chaves da cidade de Lima – Lima, Peru, 11 de novembro de 2013	11/11/2013	375,01
144	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de inauguração conjunta da Linha de 500 kV entre Villa Hayes e a subestação de energia da margem direita de Itaipu Binacional – Hernandárias, Paraguai, 29 de outubro de 2013	29/10/2013	-534,57
145	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da III Conferência Global sobre Trabalho Infantil - Brasília, 8 de outubro de 2013	08/10/2013	-104,66
146	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião do encontro bilateral com o presidente da República do Paraguai, Horacio Cartes - Brasília, 30 de setembro de 2013	30/09/2013	-1400,73
147	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de almoço em homenagem ao Presidente da República do Paraguai, Horacio Cartes - Brasília, 30 de setembro de 2013	30/09/2013	-1400,73
148	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do encerramento do Seminário Empresarial “Oportunidades em Infraestrutura no Brasil” - Nova Iorque, Estados Unidos, 25 de setembro de 2013	25/09/2013	-169,94
149	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do Debate Geral da 68ª Assembleia-Geral das Nações Unidas - Nova Iorque, Estados Unidos, 24 de setembro de 2013	24/09/2013	-171,33
150	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de mesa de abertura do Foro Político de Alto Nível sobre Desenvolvimento Sustentável - Nova Iorque, Estados Unidos, 24 de setembro de 2013	24/09/2013	-171,33
151	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do Debate Geral da 68ª Assembleia-Geral das Nações Unidas - Nova York, Estados Unidos, 24 de setembro de 2013	24/09/2013	-171,33
152	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da Cúpula dos Estados Parte e Estados Associados do Mercosul e convidados especiais – Montevidéu, Uruguai, 12 de julho de 2013	12/07/2013	-1093,02
153	Discurso da Presidenta da República, Dilma Rousseff, por ocasião de formatura da turma 2011/2013 do Instituto Rio Branco - Brasília, 17 de junho de 2013	17/06/2013	-243,69
